MaterialName, GlobalWarmingPotential,,, Acidification,,, DepletionOfNonrenewbles,,, DepletionOfOzoneLayer,,, Eutrophication,,, FormationTroposphericOzone,,
Aerated concrete block; average density 400kg/m3,188.9,0,0,0.2181,0,0,1298,0,0,0.000000193,0,0,0.02771,0,0,0.01511,0,0
"Aerated concrete block element; average density 500kg/m3, reinforced",287.6,0,0,0.4247,0,0,2143,0,0,0.000000303,0,0,0.04778,0,0,0.04736,0,0
"Lightweight concrete block (expanded clay, hollow block, density 0,6); expanded clay, hollow block, density 0,6 ",394,0,0,2.581,0,0,2620,0,0,0.000000219,0,0,0.1525,0,0,0.0935,0,0
"Lightweight concrete block (expanded clay, solid block, density 0,6); expanded clay, solid block, density 0,6",184.9,0,0,0.7454,0,0,1850,0,0,0.000000185,0,0,0.05553,0,0,0.04521,0,0
"Lightweight concrete block inner wall (density 0,7); 700 kg/m3, LB plan stone interior wall ",230.5,0,0,0.957,0,0,2344,0,0,0.000000209,0,0,0.07481,0,0,0.05939,0,0
Concrete bricks; 2000kg/m3,0.1229,0,0,0.0002109,0,0,0.67,0,0,1.07E-10,0,0,0.00003825,0,0,0.000006186,0,0
"Prefabricated concrete ceiling, 20cm; 504 kg/m2",131.4,0,0,0.2583,0,0,1006,0,0,-0.00000137,0,0,0.02571,0,0,0.03158,0,0
"Prefabricated concrete ceiling, 40cm; 1008 kg/m2",262.7,0,0,0.5166,0,0,2013,0,0,-0.00000274,0,0,0.05142,0,0,0.06316,0,0
"Prefabricated concrete stairs, 1,1 m width, 9 steps a 16 cm; 1965 kg",384.4,0,0,0.7907,0,0,3025,0,0,-0.000003697,0,0,0.08974,0,0,0.08464,0,0
"Prefabricated concrete wall, 12cm; 291,3 kg/m2",48.33,0,0,0.09147,0,0,0.09147,0,0,-0.000000256,0,0,0.01285,0,0,0.007221,0,0
"Prefabricated concrete wall, 40cm; 971 kg/m2",161.2,0,0,0.3051,0,0,1070,0,0,-0.000000855,0,0,0.04283,0,0,0.02411,0,0
"Concrete pipe, reinforced ",0.1751,0,0,0.0003291,0,0,1.193,0,0,-8.28E-10,0,0,0.00004558,0,0,0.00002585,0,0
"Concrete pipe, not reinforced",0.134,0,0,0.0002301,0,0,0.7309,0,0,1.16E-10,0,0,0.00004172,0,0,0.000006748,0,0
Stoneware pipes DN 250; 51kg/m,29.91,0,0,0.0319,0,0,434.6,0,0,3.39E-08,0,0,0.004271,0,0,0.003623,0,0
Stoneware pipes DN 400; 142kg/m,60.55,0,0,0.06823,0,0,844.1,0,0,0.000000068,0,0,0.00948,0,0,0.007495,0,0
"Stoneware tiles, glazed; 2000kg/m3",0.3286,0,0,0.0005706,0,0,5.053,0,0,3.19E-10,0,0,0.00006176,0,0,0.00003606,0,0
"Stoneware tiles, unglazed, 2000kg/m3",0.3597,0,0,0.0005813,0,0,5.616,0,0,3.2E-10,0,0,0.00005812,0,0,0.00003865,0,0
"Natural stone slab, rigid, exterior; 208 kg/m2",7.689,0,0,0.01401,0,0,79.12,0,0,7.85E-09,0,0,0.002166,0,0,0.002068,0,0
"Natural stone slab, rigid, façade; 78 kg/m2",41.08,0,0,0.2322,0,0,438.2,0,0,0.000000696,0,0,0.024,0,0,0.01719,0,0
"Natural stone slab, rigid, indoor; 52 kg/m2",40.11,0,0,0.2302,0,0,427.4,0,0,0.000000696,0,0,0.02365,0,0,0.01716,0,0
"Natural stone slab, flexible, façade; 104kg/m2",20.46,0,0,0.1068,0,0,217.7,0,0,0.000000312,0,0,0.01117,0,0,0.008514,0,0
"Natural stone slab, flexible, indoor; 52 kg/m2",19.01,0,0,0.105,0,0,203,0,0,0.000000311,0,0,0.01097,0,0,0.007697,0,0
Roof tile,0.4861,0,0,0.001,0,0,6.571,0,0,5.57E-10,0,0,0.0001121,0,0,0.00009874,0,0
Gypsum fibre board; 10kg/m2,3.547,0,0,0.004123,0,0,51.97,0,0,3.62E-09,0,0,0.0007595,0,0,0.0004461,0,0
Gypsum plaster board (Fire protection); 10kg/m2,2.445,0,0,0.003821,0,0,36.11,0,0,2.11E-09,0,0,0.00096,0,0,0.0003708,0,0
Gypsum plaster board (Moisture resistant); 10kg/m2,2.5,0,0,0.003773,0,0,37.32,0,0,8.17E-09,0,0,0.0009395,0,0,0.0002895,0,0
Gypsum plaster board (Acoustic ceilings); 8.5kg/m2,2.158,0,0,0.003351,0,0,33.21,0,0,1.99E-09,0,0,0.0008234,0,0,0.0003894,0,0
Gypsum wallboard; 84 kg/m2,24.56,0,0,0.024,0,0,381.8,0,0,1.07E-08,0,0,0.003443,0,0,0.002547,0,0
Dry screed (Gypsum fibre board); 24kg/m2,8.405,0,0,0.009943,0,0,124,0,0,8.75E-09,0,0,0.001859,0,0,0.0009715,0,0
Dry screed (Gypsum plaster board); 20kg/m2,4.876,0,0,0.007051,0,0,73.57,0,0,4.2E-09,0,0,0.001842,0,0,0.0005731,0,0
"Mineral fibres ceiling boards; 3,45 kg/m2",3.64,0,0,0.01526,0,0,55.41,0,0,2.84E-08,0,0,0.0009242,0,0,0.001095,0,0
Glass bricks; 1800 kg/m3,1.627,0,0,0.006948,0,0,17.37,0,0,7.54E-10,0,0,0.001303,0,0,0.0005525,0,0
Adobe; 1200 kg/m3,0.08646,0,0,0.00007881,0,0,1.381,0,0,4.6E-11,0,0,0.00001049,0,0,0.00001107,0,0
Rammed earth wall; 2000kg/m3,9.354,0,0,0.03416,0,0,125.2,0,0,4.96E-10,0,0,0.007589,0,0,0.006792,0,0
Gypsum interior plaster; 1000kg/m3,0.1485,0,0,0.0001848,0,0,2.063,0,0,2.14E-10,0,0,0.00002321,0,0,0.00002087,0,0
Gypsum lime plaster; 1400kg/m3,0.1627,0,0,0.0002,0,0,2.059,0,0,2.07E-10,0,0,0.00002777,0,0,0.00001255,0,0
Interior plaster (lime-gypsum); lime gypsum ,0.2313,0,0,0.0002283,0,0,2.115,0,0,1.64E-10,0,0,0.00004302,0,0,0.000005736,0,0
Lime interior plaster; Lime ,0.2251,0,0,0.0001886,0,0,1.313,0,0,1.15E-10,0,0,0.00004352,0,0,0.000004294,0,0
Synthetic resin plaster; Synthetic resin,0.7747,0,0,0.002587,0,0,16.81,0,0,1.98E-09,0,0,0.0002525,0,0,0.002518,0,0
Clay plaster; 1600 kg/m3,0.154,0,0,0.0002394,0,0,1.284,0,0,1.43E-10,0,0,0.00009365,0,0,0.00001243,0,0
Reinforcement (synthetic resin trowel) ,0.5438,0,0,0.001302,0,0,12.32,0,0,2.49E-09,0,0,0.0001743,0,0,0.002698,0,0
Tile adhesive ,0.3473,0,0,0.0004322,0,0,1.732,0,0,2.61E-10,0,0,0.00007316,0,0,0.00004446,0,0
Glue for gypsum boards; 1000 kg/m3,0.1138,0,0,0.0001279,0,0,1.643,0,0,1.03E-10,0,0,0.00001671,0,0,0.00001513,0,0
Stone mastic asphalt SMA,77.11,0,0,0.2293,0,0,4069,0,0,5.92E-08,0,0,0.02356,0,0,0.1669,0,0
Mastic asphalt; 2400kg/m3,98.34,0,0,0.2651,0,0,4688,0,0,6.38E-08,0,0,0.02674,0,0,0.1712,0,0
Asphalt binder,74.94,0,0,0.2187,0,0,3806,0,0,5.73E-08,0,0,0.02293,0,0,0.1655,0,0
Asphalt supporting layer; 2350 kg/m3,68.97,0,0,0.1846,0,0,2904,0,0,0.000000056,0,0,0.02117,0,0,0.1605,0,0
"Asphalt pavement, 2400kg/m3",77.11,0,0,0.2293,0,0,4069,0,0,5.92E-08,0,0,0.02356,0,0,0.1669,0,0
Mineral wool (Floors); 85kg/m3,137.1,0,0,0.6072,0,0,1729,0,0,0.000000196,0,0,0.08796,0,0,0.04406,0,0
Mineral wool (Facades); 46kg/m3,72.37,0,0,0.3367,0,0,817.4,0,0,9.45E-08,0,0,0.04557,0,0,0.02562,0,0
Mineral wool (Flat roofs) 145kg/m3,216.9,0,0,1.084,0,0,2004,0,0,0.000000242,0,0,0.1325,0,0,0.08774,0,0
Mineral wool (Partition walls); 26kg/m3,41.39,0,0,0.1902,0,0,481.6,0,0,5.54E-08,0,0,0.02619,0,0,0.0143,0,0
Mineral wool (Pitched roofs); 30kg/m3,47.71,0,0,0.2162,0,0,573,0,0,6.55E-08,0,0,0.03035,0,0,0.01605,0,0
Extruded polystyrene (XPS); 32 kg/m3,3.276,0,0,0.0069,0,0,91.8,0,0,0.000000862,0,0,0.0006449,0,0,0.002846,0,0
Lightweight wood fibers panel; 360 kg/m3,84.31,0,0,0.33,0,0,2025,0,0,0.000000192,0,0,0.03638,0,0,0.0277,0,0
Expanded cork; 80 kg/m3,-140.2,0,0,0.1843,0,0,593.8,0,0,0.000000312,0,0,0.03771,0,0,-0.02672,0,0
Wood fibre board; wood fibre ,-309.9,0,0,0.2346,0,0,2365,0,0,0.000000355,0,0,0.03001,0,0,0.05027,0,0
Cellulose fibre blowing insulation material; 45 kg/m3,-0.6116,0,0,0.001165,0,0,3.229,0,0,4.04E-10,0,0,0.0001762,0,0,0.00006802,0,0
Flax fibre fleece; 38 kg/m3,1.006,0,0,0.005267,0,0,38.32,0,0,3.35E-08,0,0,0.001526,0,0,0.0009714,0,0
Hemp fibre fleece; density 38 kg/m3,1.065,0,0,0.005068,0,0,38.78,0,0,0.000000015,0,0,0.0007678,0,0,0.0009407,0,0
Urea formaldehyde resin in-situ foam; 10kg/m3,3.943,0,0,0.01049,0,0,66.71,0,0,6.32E-09,0,0,0.003127,0,0,0.004169,0,0
Melamime foam resin; 10kg/m3,8.245,0,0,0.00803,0,0,132,0,0,3.04E-08,0,0,0.003744,0,0,0.00132,0,0
Polyethylene foam; 30kg/m3,3.72,0,0,0.00636,0,0,101.4,0,0,7.73E-09,0,0,0.000719,0,0,0.003118,0,0
Caoutchouk foam; 55 kg/m3,5.26,0,0,0.01047,0,0,112.1,0,0,9.29E-09,0,0,0.0006709,0,0,0.001455,0,0
Aerated concrete granulate; average density 400 kg/m3,5.017,0,0,0.02597,0,0,61.38,0,0,0.000000316,0,0,0.006186,0,0,-0.004049,0,0
"Multi layer parquet, 6,5kg/m2",-8.272,0,0,0.02374,0,0,129,0,0,2.06E-08,0,0,0.003065,0,0,0.00318,0,0
"Strip parquet; 11,5 kg/m2",-22.64,0,0,0.0366,0,0,129,0,0,4.07E-09,0,0,0.004232,0,0,0.01025,0,0
"Corkboard, 1m2, 4mm; 1,8kg/m2",-3.154,0,0,0.004146,0,0,13.36,0,0,7.01E-09,0,0,0.0008485,0,0,-0.0006012,0,0
"Corkboard, 1m2, 6mm; 2,7 kg/m2",-4.731,0,0,0.006219,0,0,20.04,0,0,1.05E-08,0,0,0.001273,0,0,-0.0009018,0,0
"Corkboard 1m2, 8mm; 3,6 kg/m2",-6.308,0,0,0.008292,0,0,26.72,0,0,0.000000014,0,0,0.001697,0,0,-0.001202,0,0
"Rubber flooring with foam coating EN 1816; 3,816kg/m2",16.23,0,0,0.03775,0,0,302.2,0,0,0.000000133,0,0,0.00479,0,0,0.006783,0,0
"Rubber flooring profiled EN 12199; 4,82kg/m2",15.68,0,0,0.03819,0,0,319.6,0,0,0.000000145,0,0,0.003556,0,0,0.004655,0,0
"Bitumen sheets G 200 S4; 5,0 kg/m2",0.5769,0,0,0.002354,0,0,38.67,0,0,3.11E-09,0,0,0.0001939,0,0,0.0004402,0,0
"Bitumen sheets PYE-PV 200 s5 ns (slated); 6,2kg/m2",0.9353,0,0,0.002278,0,0,42.21,0,0,3.78E-09,0,0,0.0001944,0,0,0.0005421,0,0
"Bitumen sheets PYE-PV 200 s5 (not slated); 5,2kg/m2",1.112,0,0,0.002705,0,0,50.37,0,0,4.5E-09,0,0,0.0002289,0,0,0.0006517,0,0
Bitumen sheet v 60; 5 kg/m2,0.4436,0,0,0.002029,0,0,37.33,0,0,3.4E-09,0,0,0.0001513,0,0,0.0003096,0,0
PVC roofing membranes ,4.957,0,0,0.01384,0,0,92.49,0,0,4.64E-08,0,0,0.001601,0,0,0.003707,0,0
EPDM roofing membranes,4.678,0,0,0.006927,0,0,127.1,0,0,4.71E-09,0,0,0.0006995,0,0,0.0006995,0,0
EVA roof sheets ,2.938,0,0,0.005481,0,0,88.6,0,0,6.27E-09,0,0,0.0005102,0,0,0.00325,0,0
Plastic profile CR (Chloroprene-Rubber),5.76,0,0,0.01037,0,0,112.2,0,0,1.52E-08,0,0,0.001287,0,0,0.001361,0,0
Plastic profile EPDM,4.544,0,0,0.006784,0,0,113.8,0,0,6.58E-09,0,0,0.0006817,0,0,0.00229,0,0
Plastic profile SBR,5.069,0,0,0.008033,0,0,124.5,0,0,1.49E-08,0,0,0.0008504,0,0,0.001581,0,0
Drinking water pipe PB ,4.609,0,0,0.006612,0,0,118.3,0,0,4.96E-09,0,0,0.0007319,0,0,0.001219,0,0
Drinking water pipe PE-X-Alu,9.363,0,0,0.04466,0,0,128.3,0,0,8.86E-08,0,0,0.002313,0,0,0.003879,0,0
Sewer pipe ABS,4.774,0,0,0.009786,0,0,115.2,0,0,1.54E-08,0,0,0.001312,0,0,0.001366,0,0
Sewer pipe glass-fibre reinforced ,2.415,0,0,0.006026,0,0,45.77,0,0,4.21E-09,0,0,0.000687,0,0,0.001746,0,0
Sewer pipe PE-HD,2.316,0,0,0.004413,0,0,79.53,0,0,4.11E-09,0,0,0.0003872,0,0,0.0008478,0,0
Sewer pipe PP,2.517,0,0,0.004552,0,0,80.26,0,0,4.65E-09,0,0,0.0003988,0,0,0.0007418,0,0
Sewer pipe PVC,3.165,2.313,-0.7478,0.0053,0,0,64,5.309,-10.06,7.86E-09,1.07E-09,-1.71E-09,0.0006206,0.00009729,-0.0001015,0.001594,0.00008987,-0.00009277
Rain drain pipe (PVC pipe),2.724,0,0,0.004905,0,0,55.94,0,0,6.69E-09,0,0,0.0006941,0,0,0.001384,0,0
Cable duct PVC hard ,2.218,0,0,0.004527,0,0,53.65,0,0,2.68E-08,0,0,0.0005869,0,0,0.00152,0,0
Plastic profile silicone ,7.788,0,0,0.02201,0,0,102.2,0,0,0.000000393,0,0,0.001833,0,0,0.001672,0,0
"High pressure laminate HPL board; 11,2kg/m2",-13.07,0,0,0.01987,0,0,242.4,0,0,1.63E-08,0,0,0.003689,0,0,0.001252,0,0
Transparent boards PC; 1200kg/m3,5.497,0,0,0.009189,0,0,109.7,0,0,1.28E-08,0,0,0.001111,0,0,0.001375,0,0
"Transparent boards PMMA, extruded; 1190kg/m3",5.918,0,0,0.01616,0,0,130.3,0,0,1.03E-08,0,0,0.001288,0,0,0.003186,0,0
"Transparent boards PMMA, cast; 1190kg/m3",6.632,0,0,0.01744,0,0,138.1,0,0,1.37E-08,0,0,0.001406,0,0,0.003308,0,0
"Transparent boards PVC; 1,22 kg/m3",3.698,0,0,0.006318,0,0,75.52,0,0,9.34E-09,0,0,0.000727,0,0,0.001891,0,0
Film for green roof,3.497,0,0,0.007292,0,0,84.49,0,0,2.67E-08,0,0,0.0009545,0,0,0.002289,0,0
Underroof reinforced membrane PE,3.889,0,0,0.01189,0,0,86.41,0,0,7.28E-09,0,0,0.001201,0,0,0.00359,0,0
Underroof membrane PP,2.981,0,0,0.00752,0,0,78.99,0,0,1.04E-08,0,0,0.000899,0,0,0.001597,0,0
Underroof membrane PUR on polyester fleece,5.806,0,0,0.008948,0,0,106.5,0,0,1.11E-08,0,0,0.00121,0,0,0.002778,0,0
Damp insulation PA ,11.3,0,0,0.02806,0,0,189.7,0,0,2.21E-08,0,0,0.002588,0,0,0.003039,0,0
Damp insulation PE,2.347,0,0,0.008085,0,0,71.39,0,0,4.86E-09,0,0,0.0006919,0,0,0.0012,0,0
Damp insulation PET fence strengthened ,6.765,0,0,0.009749,0,0,131,0,0,1.33E-08,0,0,0.001025,0,0,0.005003,0,0
PE-HD with PP fleece for sealing ,2.699,0,0,0.005145,0,0,90.07,0,0,3.88E-09,0,0,0.0004392,0,0,0.001163,0,0
Glass fleece,4.565,0,0,0.0198,0,0,49.78,0,0,6.67E-09,0,0,0.002374,0,0,0.006446,0,0
PE-PP fleece,2.734,0,0,0.004896,0,0,89.66,0,0,4.26E-09,0,0,0.0004325,0,0,0.0009193,0,0
Rubber sealing compound,4.421,0,0,0.006962,0,0,117.5,0,0,0.000000012,0,0,0.0007376,0,0,0.001521,0,0
Silicon sealing compound,7.772,0,0,0.02546,0,0,111.6,0,0,0.000000526,0,0,0.002042,0,0,0.001911,0,0
PUR sealing compound,6.013,0,0,0.03033,0,0,110.4,0,0,0.000000155,0,0,0.001465,0,0,0.002411,0,0
Bitumen cold adhesive,0.6666,0,0,0.003535,0,0,50.95,0,0,0.000000138,0,0,0.0002398,0,0,0.1093,0,0
PVC plastisol ,2.538,0,0,0.004396,0,0,55.01,0,0,0.000000031,0,0,0.0005161,0,0,0.001217,0,0
Acrylate sealing mass,3.037,0,0,0.01441,0,0,76.64,0,0,8.52E-09,0,0,0.0006392,0,0,0.001105,0,0
"Wooden frame; 1,30 kg/m",-3.106,0,0,0.01842,0,0,91.18,0,0,3.09E-08,0,0,0.002029,0,0,0.008857,0,0
"Wooden casement; 2,14 kg/m",-3.3,0,0,0.01957,0,0,96.89,0,0,3.28E-08,0,0,0.002156,0,0,0.009412,0,0
"Aluminium wing frame profile, powder coated; 0,98 kg/m",15.68,0,0,0.0864,0,0,166.8,0,0,0.000000195,0,0,0.004538,0,0,0.004546,0,0
"Aluminium frame profile, powder coated; 1,02 kg/m",16.32,0,0,0.08993,0,0,173.6,0,0,0.000000203,0,0,0.004723,0,0,0.004732,0,0
"Aluminium wing frame profile, thermically isolated, powder coated; 1,51 kg/m",20.53,0,0,0.1103,0,0,220.3,0,0,0.000000253,0,0,0.005839,0,0,0.006222,0,0
"Aluminium frame profile, thermically isolated, powder coated; 1,43 kg/m",18.77,0,0,0.09995,0,0,202.5,0,0,0.00000023,0,0,0.005318,0,0,0.005757,0,0
"Window frame PVC-U; 2,8 kg/m",8.593,0,0,0.02554,0,0,149.5,0,0,9.05E-08,0,0,0.002524,0,0,0.004329,0,0
